Well,Well Position,Sample,Target,Replicate,Reporter,Quencher,Amp Status,Amp Score,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,,,,
38,D2,2360B5 male,Cardinal,b,FAM,NFQ-MGB,AMP,1.603155359,22.48019921,0.986829129,22.56558726,0.077381133,FALSE,0.208458285,TRUE,11,18,59.98469925,,,,
38,D2,2360B5 male,rps7,b,VIC,NFQ-MGB,AMP,1.29209622,21.59175011,0.993551273,21.7937584,0.204147371,FALSE,0.057783684,TRUE,11,18,69.23339844,,,,
39,D3,2360B5 male,Cardinal,c,FAM,NFQ-MGB,AMP,1.599839017,22.58548871,0.970748269,22.56558726,0.077381133,FALSE,0.208458285,TRUE,4,17,59.97999954,,,,
39,D3,2360B5 male,rps7,c,VIC,NFQ-MGB,AMP,1.279242751,21.78954543,0.99542329,21.7937584,0.204147371,FALSE,0.057783684,TRUE,11,18,79.66169739,,,,
49,E1,QA383P female,Cardinal,a,FAM,NFQ-MGB,AMP,1.539629694,28.58335991,0.987695008,28.33043248,0.220878395,FALSE,0.208458285,TRUE,13,23,59.98469925,,,,
49,E1,QA383P female,rps7,a,VIC,NFQ-MGB,AMP,1.336155668,19.17286829,0.851608299,19.24616879,0.076735409,FALSE,0.057783684,TRUE,10,16,59.98469925,,,,
50,E2,QA383P female,Cardinal,b,FAM,NFQ-MGB,AMP,1.557998304,28.23239502,0.982433378,28.33043248,0.220878395,FALSE,0.208458285,TRUE,13,23,59.98469925,,,,
50,E2,QA383P female,rps7,b,VIC,NFQ-MGB,AMP,1.299349288,19.32593053,0.908955988,19.24616879,0.076735409,FALSE,0.057783684,TRUE,10,16,59.98469925,,,,
51,E3,QA383P female,Cardinal,c,FAM,NFQ-MGB,AMP,1.546431618,28.17554251,0.974269193,28.33043248,0.220878395,FALSE,0.208458285,TRUE,12,21,64.26229858,,,,
51,E3,QA383P female,rps7,c,VIC,NFQ-MGB,AMP,1.31759129,19.23970754,0.882171951,19.24616879,0.076735409,FALSE,0.057783684,TRUE,10,16,59.97999954,,,,
61,F1,QA383P male,Cardinal,a,FAM,NFQ-MGB,AMP,1.538990738,26.08150152,0.979840591,25.91775573,0.151140269,FALSE,0.208458285,TRUE,13,21,59.98469925,,,,
61,F1,QA383P male,rps7,a,VIC,NFQ-MGB,AMP,1.392847766,20.18490304,0.782185778,20.02143847,0.185991598,FALSE,0.057783684,TRUE,10,17,65.30670166,,,,
62,F2,QA383P male,Cardinal,b,FAM,NFQ-MGB,AMP,1.541857201,25.88816924,0.98096344,25.91775573,0.151140269,FALSE,0.208458285,TRUE,12,21,59.98469925,,,,
62,F2,QA383P male,rps7,b,VIC,NFQ-MGB,AMP,1.40352762,20.06033941,0.783149625,20.02143847,0.185991598,FALSE,0.057783684,TRUE,10,17,63.32229996,,,,
63,F3,QA383P male,Cardinal,c,FAM,NFQ-MGB,AMP,1.520629057,25.78359643,0.980616739,25.91775573,0.151140269,FALSE,0.208458285,TRUE,12,20,59.97999954,,,,
63,F3,QA383P male,rps7,c,VIC,NFQ-MGB,AMP,1.42022725,19.81907296,0.733574428,20.02143847,0.185991598,FALSE,0.057783684,TRUE,10,17,63.76515198,,,,
73,G1,1759 fem,Cardinal,a,FAM,NFQ-MGB,AMP,1.550796695,23.95568673,0.971197028,23.93704776,0.030551275,FALSE,0.208458285,TRUE,6,19,60.87844849,,,,
73,G1,1759 fem,rps7,a,VIC,NFQ-MGB,AMP,1.433808102,19.33521781,0.722116894,19.27796829,0.050577166,FALSE,0.057783684,TRUE,10,16,66.77670288,,,,
74,G2,1759 fem,Cardinal,b,FAM,NFQ-MGB,AMP,1.542353329,23.9536671,0.977892787,23.93704776,0.030551275,FALSE,0.208458285,TRUE,11,19,60.42739868,,,,
74,G2,1759 fem,rps7,b,VIC,NFQ-MGB,AMP,1.443572837,19.23934759,0.691230101,19.27796829,0.050577166,FALSE,0.057783684,TRUE,10,16,62.82434845,,,,
75,G3,1759 fem,Cardinal,c,FAM,NFQ-MGB,AMP,1.538149903,23.90178946,0.969162294,23.93704776,0.030551275,FALSE,0.208458285,TRUE,13,19,81.06735229,,,,
75,G3,1759 fem,rps7,c,VIC,NFQ-MGB,AMP,1.448875669,19.25933946,0.68951076,19.27796829,0.050577166,FALSE,0.057783684,TRUE,10,16,81.06735229,,,,
85,H1,1759 male,Cardinal,a,FAM,NFQ-MGB,AMP,1.561542377,24.57865736,0.96515574,24.47351358,0.159637678,FALSE,0.208458285,TRUE,6,20,71.1937027,,,,
85,H1,1759 male,rps7,a,VIC,NFQ-MGB,AMP,1.419461401,20.8192627,0.739151511,20.65687875,0.140987386,FALSE,0.057783684,TRUE,10,17,71.67494965,,,,
86,H2,1759 male,Cardinal,b,FAM,NFQ-MGB,AMP,1.564574289,24.28982046,0.962574745,24.47351358,0.159637678,FALSE,0.208458285,TRUE,12,20,81.68789673,,,,
86,H2,1759 male,rps7,b,VIC,NFQ-MGB,AMP,1.444614835,20.56563528,0.733989591,20.65687875,0.140987386,FALSE,0.057783684,TRUE,10,17,81.68789673,,,,
87,H3,1759 male,Cardinal,c,FAM,NFQ-MGB,AMP,1.551457734,24.55206291,0.970591303,24.47351358,0.159637678,FALSE,0.208458285,TRUE,5,20,59.97999954,,,,
87,H3,1759 male,rps7,c,VIC,NFQ-MGB,AMP,1.460250426,20.58573826,0.709385169,20.65687875,0.140987386,FALSE,0.057783684,TRUE,10,16,83.88539886,,,,
89,H5,NTC,Cardinal,,FAM,NFQ-MGB,NO_AMP,1.146343117,37.74100354,0.875258384,,,FALSE,0.208458285,TRUE,23,33,81.6638031,,,,
89,H5,NTC,rps7,,VIC,NFQ-MGB,NO_AMP,0,UNDETERMINED,0,,,FALSE,0.057783684,TRUE,3,39,81.6638031,,,,
95,H11,NTC,Cardinal,,FAM,NFQ-MGB,NO_AMP,0,UNDETERMINED,0,,,FALSE,0.208458285,TRUE,3,39,86.09519958,,,,
95,H11,NTC,GAPDH,,VIC,NFQ-MGB,NO_AMP,0,UNDETERMINED,0,,,TRUE,0.2,TRUE,3,39,77.68379974,,,,
